meal_id,category,cuisine,links
1885,almond-rice,asian,https://www.cookingwithamc.info/recipes/almond-rice/1713
1993,amc-kaya-coconut-jam,asian,https://www.cookingwithamc.info/recipes/amc-kaya-coconut-jam/2314
2539,asian-vegetables-tofu,asian,https://www.cookingwithamc.info/recipes/asian-vegetables-tofu/4777
1248,baked-potatoes,Indian,https://www.cookingwithamc.info/recipes/baked-potatoes/4266
2631,bean-and-lentil-salad,Italian,https://www.cookingwithamc.info/recipes/bean-and-lentil-salad/4574
1311,chicken-thighs-mlinci,Thai,https://www.cookingwithamc.info/recipes/chicken-thighs-mlinci/5885
1062,chickpeas-tomato-sauce,Italian,https://www.cookingwithamc.info/recipes/chickpeas-tomato-sauce/241
1778,christmas-codfish,Italian,https://www.cookingwithamc.info/recipes/christmas-codfish/5897
1803,couscous-and-lentil-salad,Thai,https://www.cookingwithamc.info/recipes/couscous-and-lentil-salad/4364
1198,deep-fried-rice-balls,Thai,https://www.cookingwithamc.info/recipes/deep-fried-rice-balls/306
2707,cabbage-pasta,Italian,https://www.cookingwithamc.info/recipes/gratinated-cabbage-pasta-krautfleckerl/4641
1847,chicken-pulao,Thai,https://www.cookingwithamc.info/recipes/amc-chicken-pulao/5721
1438,green-bean-stew,Thai,https://www.cookingwithamc.info/recipes/green-bean-stew/1707
2494,hainanese-chicken,Thai,https://www.cookingwithamc.info/recipes/hainanese-chicken-rice/2346
2760,paella,Thai,https://www.cookingwithamc.info/recipes/paella/5476
2490,lasagna,Italian,https://www.cookingwithamc.info/recipes/lasagna/4235
1109,indian-baked-potaoes,Indian,https://www.cookingwithamc.info/recipes/indian-baked-potatoes/600
2290,jeera-rice,Indian,https://www.cookingwithamc.info/recipes/jeera-rice/1780
1525,piulpo-alla-luciana,Thai,https://www.cookingwithamc.info/recipes/pulpo-alla-luciana/5783
2704,squid-risotto,Thai,https://www.cookingwithamc.info/recipes/squid-risotto/4789
1878,rice-pudding,Thai,https://www.cookingwithamc.info/recipes/turkish-rice-pudding/4257
2640,vegetable-paella,Thai,https://www.cookingwithamc.info/recipes/vegetable-paella/805
2577,zucchini-risotto-shrimps,Thai,https://www.cookingwithamc.info/recipes/zucchini-risotto-shrimps/810
1754,scallopine-gorgonzola,Italian,https://www.cookingwithamc.info/recipes/scallopine-gorgonzola/1787
1971,spaghetti-carbonara,Italian,https://www.cookingwithamc.info/recipes/spaghetti-carbonara/2502
2306,spaztle,Italian,https://www.cookingwithamc.info/recipes/spatzle/4664
2139,lasooni-dal-tadka,Indian,https://www.cookingwithamc.info/recipes/lasooni-dal-tadka/5664
2826,apple-tortilla,Italian,https://www.cookingwithamc.info/recipes/apple-tortilla/5264
2664,fried-eggs,Italian,https://www.cookingwithamc.info/recipes/fried-eggs/4417
2569,crsipy-parmesan-asparagus,Italian,https://www.cookingwithamc.info/recipes/crispy-parmesan-asparagus/4845
1230,apple-carrot-salad,Continental,https://www.cookingwithamc.info/recipes/apple-carrot-salad-walnuts/610
1207,beef-broth,Continental,https://www.cookingwithamc.info/recipes/beef-broth/3065
2322,cod-fritters,Continental,https://www.cookingwithamc.info/recipes/cod-fritters/583
2492,sambar,Indian,https://www.cookingwithamc.info/recipes/sambar/1998
1216,gnocchi-alla-sorrentina,Italian,https://www.cookingwithamc.info/recipes/gnocchi-alla-sorrentina/5474
1727,vegetable-pulao,Indian,https://www.cookingwithamc.info/recipes/vegetable-pulao/324
1902,vegetable-rice,Indian,https://www.cookingwithamc.info/recipes/vegetable-rice/4323
1247,kebabs,Indian,https://www.cookingwithamc.info/recipes/kebabs/4752
2304,apple-crepe,Indian,https://www.cookingwithamc.info/recipes/apple-crepes/1656
1543,assam-prawns,Indian,https://www.cookingwithamc.info/recipes/assam-prawns/5644
1770,chicken-tikka,Indian,https://www.cookingwithamc.info/recipes/chicken-tikka/5658
2126,parmesan-lollipops,Italian,https://www.cookingwithamc.info/recipes/parmesan-lollipops/4788
1558,crepes,Continental,https://www.cookingwithamc.info/recipes/crepes/391
2581,dim-sum,Continental,https://www.cookingwithamc.info/recipes/dim-sum/1798
1962,herb-omelette-fennel,Continental,https://www.cookingwithamc.info/recipes/herb-omelette-fennel/2197
1571,fish-nuggets,Continental,https://www.cookingwithamc.info/recipes/fish-nuggets/5458
2956,fish-sticks,Continental,https://www.cookingwithamc.info/recipes/fish-sticks/4168
2104,baklava,Continental,https://www.cookingwithamc.info/recipes/baklava/4248
2444,boiled-eggs,Continental,https://www.cookingwithamc.info/recipes/boiled-eggs/4219
2867,cheese-cake,Continental,https://www.cookingwithamc.info/recipes/cheesecake/2348
1445,muesli-strawberries,Continental,https://www.cookingwithamc.info/recipes/muesli-strawberries/1732
