category,ingredient,quantity
almond-rice,onion,50g
almond-rice,garlic,25g
almond-rice,rice,200 g
almond-rice,vegetable-broth,350 ml
almond-rice,milk,100 ml
almond-rice,zucchini,118 g
almond-rice,cherry-tomatoes,200 g
almond-rice,chives,170 g
almond-rice,almond-slivers,30 g
almond-rice,salt,2 g
almond-rice,pepper,2.84 g
almond-rice,milled-coriander,17.07 g
amc-kaya-coconut-jam,sugar,180 g
amc-kaya-coconut-jam,coconut-milk,250 g
amc-kaya-coconut-jam,eggs,4  eggs
amc-kaya-coconut-jam,pandan-leaves,20g
asian-vegetables-tofu,tofu,250 g
asian-vegetables-tofu,soy-sauce,119.49g
asian-vegetables-tofu,flat-Asian-style-noodles,150 g
asian-vegetables-tofu,salt,2 g
asian-vegetables-tofu,red-bell-pepper,50g
asian-vegetables-tofu,yellow-bell-pepper,50g
asian-vegetables-tofu,spring-onion,20g
asian-vegetables-tofu,carrots,25g
asian-vegetables-tofu,coriander,10g
asian-vegetables-tofu,cashew-nuts,50 g
asian-vegetables-tofu,sesame-oil,34.14g
asian-vegetables-tofu,sweet-and-sour-sauce,34.14g
baked-potatoes,waxy-potatoes,750 g
baked-potatoes,garlic,4g
baked-potatoes,twigs-rosemary,10g
baked-potatoes,olive-oil,34014g
baked-potatoes,paprika-powder,2.84g
baked-potatoes,salt,2 g
baked-potatoes,pepper,3g
bean-and-lentil-salad,red-lentils,150 g
bean-and-lentil-salad,vegetable-broth,150 ml
bean-and-lentil-salad,frozen-green-beans,500 g
bean-and-lentil-salad,shallot,15g
bean-and-lentil-salad,garlic,4g
bean-and-lentil-salad,limes,30g
bean-and-lentil-salad,coarse-grained-mustard,17.07 g
bean-and-lentil-salad,olive-oil,68.28g
bean-and-lentil-salad,sugar,34.14g
bean-and-lentil-salad,salt,2 g
bean-and-lentil-salad,pepper,3g
chicken-thighs-mlinci,chicken-thighs,45g
chicken-thighs-mlinci,salt,4g
chicken-thighs-mlinci,mild-ground-paprika,5.69 g
chicken-thighs-mlinci,olive-oil,100 ml
chicken-thighs-mlinci,dried-flatbread-(mlinci),500 g
chickpeas-tomato-sauce,dried-chickpeas,300 g
chickpeas-tomato-sauce,onion,50g
chickpeas-tomato-sauce,garlic,4g
chickpeas-tomato-sauce,sieved-tomatoes-(canned),300 g
chickpeas-tomato-sauce,sweet-paprika-powder,5.69 g
chickpeas-tomato-sauce,chorizo-(spanish-pepper-salami),200 g
chickpeas-tomato-sauce,Serrano-ham,100 g
chickpeas-tomato-sauce,olive-oil,34.14g
chickpeas-tomato-sauce,salt,2 g
christmas-codfish,chickpeas-dried,200 g
christmas-codfish,onions,100g
christmas-codfish,potatoes,450 g
christmas-codfish,carrots,350 g
christmas-codfish,savoy-cabbage,300 g
christmas-codfish,salt,2g
christmas-codfish,loins-codfish-soaked,30g
christmas-codfish,water,100 ml
christmas-codfish,olive-oil,17.07 g
christmas-codfish,garlic-cloves,12g
christmas-codfish,black-pepper,2g
couscous-and-lentil-salad,vegetable-broth,300 ml
couscous-and-lentil-salad,red-lentils,100 g
couscous-and-lentil-salad,couscous,175 g
couscous-and-lentil-salad,spring-onions,100 g
couscous-and-lentil-salad,yogurt,300 g
couscous-and-lentil-salad,white-wine-vinegar,51.21 ml
couscous-and-lentil-salad,olive-oil,51.21 ml
couscous-and-lentil-salad,salt,2 g
couscous-and-lentil-salad,pepper,2g
couscous-and-lentil-salad,cumin-powder,2g
couscous-and-lentil-salad,organic-lemon,10g
deep-fried-rice-balls,onion,50g
deep-fried-rice-balls,garlic-clove,4g
deep-fried-rice-balls,carrot,10g
deep-fried-rice-balls,stick-stalk-celery,5g
deep-fried-rice-balls,minced-meat,150 g
deep-fried-rice-balls,tomato-puree,51.21 ml
deep-fried-rice-balls,white-wine-dry,150 ml
deep-fried-rice-balls,risotto-rice,250 g
deep-fried-rice-balls,vegetable-broth,500 ml
deep-fried-rice-balls,dried-saffron,0.9g
deep-fried-rice-balls,parmesan-cheese,50 g
deep-fried-rice-balls,rice-flour,100 g
deep-fried-rice-balls,bread-crumbs,100 g
deep-fried-rice-balls,oil,800 ml
deep-fried-rice-balls,leaf-lettuce,5g
cabbage-pasta,white-cabbage,400 g
cabbage-pasta,cooked-ham,200 g
cabbage-pasta,onion,50g
cabbage-pasta,bacon-cubes,75 g
cabbage-pasta,Fleckerl-pasta-(Austrian-pasta),250 g
cabbage-pasta,vegetable-broth,350 ml
cabbage-pasta,stalks-basil,15g
cabbage-pasta,Creme-fraiche,150 g
cabbage-pasta,eggs,2 eggs
cabbage-pasta,pepper,2g
cabbage-pasta,nutmeg,15g
cabbage-pasta,breadcrumbs,51.21 g
cabbage-pasta,butter,25 g
chicken-pulao,chicken-without-skin,500 g
chicken-pulao,onions,100g
chicken-pulao,green-chillies,7g
chicken-pulao,ginger-paste,2.84 g
chicken-pulao,garlic-paste,2.84 g
chicken-pulao,green-cardamon-pods,5g
chicken-pulao,black-cardamon-pods,6g
chicken-pulao,cloves,16g
chicken-pulao,bay-leaves,4g
chicken-pulao,turmeric-powder,1.42g
chicken-pulao,red-chili-powder,2.84 g
chicken-pulao,coriander-powder,2.84 g
chicken-pulao,garam-masala,2.84 g
chicken-pulao,tomato,50g
chicken-pulao,basmati-rice,125g
chicken-pulao,water,709.5ml
chicken-pulao,coriander-leaves,30g
chicken-pulao,mint-leaves,10g
chicken-pulao,salt,1g
green-bean-stew,floury-potatoes,750 g
green-bean-stew,green-beans,500 g
green-bean-stew,onion,50g
green-bean-stew,bacon-cubes,150 g
green-bean-stew,dried-savory,5.69 g
green-bean-stew,vegetable-broth,500 ml
green-bean-stew,salt,2 g
green-bean-stew,pepper,2g
green-bean-stew,sugar,10g
green-bean-stew,white-wine-vinegar,51.21 ml
hainanese-chicken,pandan-leaf,3 g
hainanese-chicken,chicken-legs,300 g
hainanese-chicken,salt,1 g
hainanese-chicken,soy-sauce, 5.69 ml
hainanese-chicken,sesame-oil,5.69 ml
hainanese-chicken,dried-ginger,5 g
hainanese-chicken,cloves-garlic,16g
hainanese-chicken,raw-rice,375g
hainanese-chicken,water,375g
hainanese-chicken,cucumber,5 g
hainanese-chicken,spring-onions,5g
hainanese-chicken,stalk-cilantro-coriander-leaves,5g
paella,chicken-thighs-(skinless),600 g
paella,pork-meat-(from-the-collar),400 g
paella,mussels,450 g
paella,raw-king-prawns,300 g
paella,onions,100g
paella,cloves-of-garlic,100g
paella,tomatoes,250 g
paella,red-bell-pepper,50g
paella,green-bell-pepper,50g
paella,pepper,2g
paella,frozen-peas,200 g
paella,Paella-rice-(or-round-grain-rice),450 g
paella,water,1 L
paella,packages-saffron-(approx.-0.2-g-each),0.2 g
paella,salt,11.38g
paella,olive-oil-(extra-virgin),51.21g
lasagna,onion,50g
lasagna,carrots,25g
lasagna,sticks-celery-stalk,10g
lasagna,mince-beef,750 g
lasagna,tomato-paste,34.14 g
lasagna,diced-tomatoes-(canned),400 g
lasagna,dry-red-wine,100 ml
lasagna,dried-italian-herbs-or-AMC-Pure,5g
lasagna,salt,2g
lasagna,pepper,2g
lasagna,butter,15 g
lasagna,flour,15 g
lasagna,milk,200 ml
lasagna,nutmeg,10g
lasagna,salt,2g
lasagna,pepper,2g
lasagna,sheets-of-lasagna,12 sheet
lasagna,grated-cheese,150 g
indian-baked-potaoes,potatoes,400 g
indian-baked-potaoes,garlic-clove,4g
indian-baked-potaoes,olive-oil,17.07 ml
indian-baked-potaoes,spicy-paprika-powder,2.84 g
indian-baked-potaoes,curry-powder,2.84 g
indian-baked-potaoes,salt,2g
indian-baked-potaoes,pepper,2g
indian-baked-potaoes,stalks-coriander,20g
jeera-rice,ghee,5.69 g
jeera-rice,onion,50g
jeera-rice,cumin-seeds,5.69 g
jeera-rice,green-cardamon-pods,6g
